Date,ADBE - Adobe,AMD - AMD,AMZN - Amazon,CSCO - Cisco,GOOGL - Google,INTC - Intel,MSFT - Microsoft,NFLX - Netflix,NVDA - Nvidia,SBUX - Starbucks,TSLA - Tesla
3/24/1981,,4.395833492,,,,0.369791657,,,,,
3/25/1981,,4.520833492,,,,0.385416657,,,,,
3/26/1981,,4.458333492,,,,0.380208343,,,,,
3/27/1981,,4.291666508,,,,0.380208343,,,,,
3/30/1981,,4.229166508,,,,0.380208343,,,,,
3/31/1981,,4.354166508,,,,0.377604157,,,,,
4/1/1981,,4.25,,,,0.380208343,,,,,
4/2/1981,,4.125,,,,0.3828125,,,,,
4/3/1981,,4.0625,,,,0.377604157,,,,,
4/6/1981,,4.083333492,,,,0.375,,,,,
4/7/1981,,4.145833492,,,,0.3671875,,,,,
4/8/1981,,4.229166508,,,,0.369791657,,,,,
4/9/1981,,4.333333492,,,,0.3671875,,,,,
4/10/1981,,4.416666508,,,,0.375,,,,,
4/13/1981,,4.604166508,,,,0.3984375,,,,,
4/14/1981,,4.5625,,,,0.401041657,,,,,
4/15/1981,,4.645833492,,,,0.403645843,,,,,
4/16/1981,,4.791666508,,,,0.408854157,,,,,
4/20/1981,,5.145833492,,,,0.408854157,,,,,
4/21/1981,,4.770833492,,,,0.416666657,,,,,
4/22/1981,,4.875,,,,0.421875,,,,,
4/23/1981,,4.958333492,,,,0.4140625,,,,,
4/24/1981,,4.9375,,,,0.416666657,,,,,
4/27/1981,,4.791666508,,,,0.408854157,,,,,
4/28/1981,,4.666666508,,,,0.403645843,,,,,
4/29/1981,,4.583333492,,,,0.3984375,,,,,
4/30/1981,,4.5625,,,,0.393229157,,,,,
5/1/1981,,4.4375,,,,0.390625,,,,,
5/4/1981,,4.3125,,,,0.3828125,,,,,
5/5/1981,,4.3125,,,,0.380208343,,,,,
5/6/1981,,4.458333492,,,,0.380208343,,,,,
5/7/1981,,4.541666508,,,,0.380208343,,,,,
5/8/1981,,4.5625,,,,0.380208343,,,,,
5/11/1981,,4.458333492,,,,0.369791657,,,,,
5/12/1981,,4.729166508,,,,0.369791657,,,,,
5/13/1981,,4.541666508,,,,0.3671875,,,,,
5/14/1981,,4.479166508,,,,0.375,,,,,
5/15/1981,,4.541666508,,,,0.377604157,,,,,
5/18/1981,,4.625,,,,0.377604157,,,,,
5/19/1981,,4.5625,,,,0.372395843,,,,,
5/20/1981,,4.520833492,,,,0.388020843,,,,,
5/21/1981,,4.541666508,,,,0.390625,,,,,
5/22/1981,,4.458333492,,,,0.393229157,,,,,
5/26/1981,,4.583333492,,,,0.40625,,,,,
5/27/1981,,4.5625,,,,0.427083343,,,,,
5/28/1981,,4.833333492,,,,0.432291657,,,,,
5/29/1981,,4.75,,,,0.427083343,,,,,
6/1/1981,,4.666666508,,,,0.419270843,,,,,
6/2/1981,,4.416666508,,,,0.403645843,,,,,
6/3/1981,,4.291666508,,,,0.395833343,,,,,
6/4/1981,,4.25,,,,0.388020843,,,,,
6/5/1981,,4.375,,,,0.385416657,,,,,
6/8/1981,,4.354166508,,,,0.380208343,,,,,
6/9/1981,,4.229166508,,,,0.377604157,,,,,
6/10/1981,,4.3125,,,,0.375,,,,,
6/11/1981,,4.458333492,,,,0.385416657,,,,,
6/12/1981,,4.458333492,,,,0.390625,,,,,
6/15/1981,,4.4375,,,,0.380208343,,,,,
6/16/1981,,4.020833492,,,,0.369791657,,,,,
6/17/1981,,4.25,,,,0.369791657,,,,,
6/18/1981,,4.0625,,,,0.361979157,,,,,
6/19/1981,,4.0625,,,,0.364583343,,,,,
6/22/1981,,3.833333254,,,,0.361979157,,,,,
6/23/1981,,3.895833254,,,,0.3671875,,,,,
6/24/1981,,3.854166746,,,,0.3671875,,,,,
6/25/1981,,3.895833254,,,,0.361979157,,,,,
6/26/1981,,4.125,,,,0.390625,,,,,
6/29/1981,,4.041666508,,,,0.393229157,,,,,
6/30/1981,,3.916666746,,,,0.375,,,,,
7/1/1981,,3.833333254,,,,0.3671875,,,,,
7/2/1981,,3.583333254,,,,0.3515625,,,,,
7/6/1981,,3.708333254,,,,0.348958343,,,,,
7/7/1981,,3.708333254,,,,0.338541657,,,,,
7/8/1981,,3.541666746,,,,0.341145843,,,,,
7/9/1981,,3.6875,,,,0.348958343,,,,,
7/10/1981,,3.541666746,,,,0.356770843,,,,,
7/13/1981,,3.604166746,,,,0.356770843,,,,,
7/14/1981,,3.5,,,,0.3515625,,,,,
7/15/1981,,3.604166746,,,,0.359375,,,,,
7/16/1981,,3.625,,,,0.372395843,,,,,
7/17/1981,,3.645833254,,,,0.375,,,,,
7/20/1981,,3.604166746,,,,0.359375,,,,,
7/21/1981,,3.583333254,,,,0.348958343,,,,,
7/22/1981,,3.604166746,,,,0.34375,,,,,
7/23/1981,,3.625,,,,0.348958343,,,,,
7/24/1981,,3.604166746,,,,0.348958343,,,,,
7/27/1981,,3.541666746,,,,0.359375,,,,,
7/28/1981,,3.416666746,,,,0.3515625,,,,,
7/29/1981,,3.458333254,,,,0.3515625,,,,,
7/30/1981,,3.4375,,,,0.346354157,,,,,
7/31/1981,,3.333333254,,,,0.3515625,,,,,
8/3/1981,,3.270833254,,,,0.346354157,,,,,
8/4/1981,,3.25,,,,0.338541657,,,,,
8/5/1981,,3.375,,,,0.338541657,,,,,
8/6/1981,,3.270833254,,,,0.338541657,,,,,
8/7/1981,,3.229166746,,,,0.328125,,,,,
8/10/1981,,3.208333254,,,,0.328125,,,,,
8/11/1981,,3.333333254,,,,0.333333343,,,,,
8/12/1981,,3.25,,,,0.322916657,,,,,
8/13/1981,,3.375,,,,0.328125,,,,,
8/14/1981,,3.479166746,,,,0.3203125,,,,,
8/17/1981,,3.479166746,,,,0.317708343,,,,,
8/18/1981,,3.520833254,,,,0.315104157,,,,,
8/19/1981,,3.479166746,,,,0.3203125,,,,,
8/20/1981,,3.416666746,,,,0.328125,,,,,
8/21/1981,,3.291666746,,,,0.315104157,,,,,
8/24/1981,,3.145833254,,,,0.309895843,,,,,
8/25/1981,,3.208333254,,,,0.3046875,,,,,
8/26/1981,,3.1875,,,,0.296875,,,,,
8/27/1981,,3.104166746,,,,0.291666657,,,,,
8/28/1981,,3.145833254,,,,0.291666657,,,,,
8/31/1981,,3.0625,,,,0.291666657,,,,,
9/1/1981,,3.0625,,,,0.296875,,,,,
9/2/1981,,3.145833254,,,,0.291666657,,,,,
9/3/1981,,2.958333254,,,,0.276041657,,,,,
9/4/1981,,2.979166746,,,,0.283854157,,,,,
9/8/1981,,2.895833254,,,,0.270833343,,,,,
9/9/1981,,2.895833254,,,,0.28125,,,,,
9/10/1981,,3.104166746,,,,0.294270843,,,,,
9/11/1981,,3.145833254,,,,0.3125,,,,,
9/14/1981,,3.041666746,,,,0.302083343,,,,,
9/15/1981,,3,,,,0.283854157,,,,,
9/16/1981,,2.833333254,,,,0.276041657,,,,,
9/17/1981,,2.6875,,,,0.263020843,,,,,
9/18/1981,,2.75,,,,0.265625,,,,,
9/21/1981,,2.729166746,,,,0.270833343,,,,,
9/22/1981,,2.604166746,,,,0.260416657,,,,,
9/23/1981,,2.5,,,,0.252604157,,,,,
9/24/1981,,2.583333254,,,,0.247395828,,,,,
9/25/1981,,2.458333254,,,,0.236979172,,,,,
9/28/1981,,2.791666746,,,,0.247395828,,,,,
9/29/1981,,2.666666746,,,,0.252604157,,,,,
9/30/1981,,2.708333254,,,,0.252604157,,,,,
10/1/1981,,2.770833254,,,,0.252604157,,,,,
10/2/1981,,2.979166746,,,,0.260416657,,,,,
10/5/1981,,3,,,,0.276041657,,,,,
10/6/1981,,2.895833254,,,,0.263020843,,,,,
10/7/1981,,2.875,,,,0.265625,,,,,
10/8/1981,,2.895833254,,,,0.265625,,,,,
10/9/1981,,2.9375,,,,0.263020843,,,,,
10/12/1981,,3.020833254,,,,0.263020843,,,,,
10/13/1981,,3.270833254,,,,0.268229157,,,,,
10/14/1981,,3.104166746,,,,0.2578125,,,,,
10/15/1981,,3.1875,,,,0.2578125,,,,,
10/16/1981,,3.125,,,,0.2578125,,,,,
10/19/1981,,3.145833254,,,,0.252604157,,,,,
10/20/1981,,3.166666746,,,,0.252604157,,,,,
10/21/1981,,3.291666746,,,,0.263020843,,,,,
10/22/1981,,3.125,,,,0.2578125,,,,,
10/23/1981,,2.979166746,,,,0.2578125,,,,,
10/26/1981,,3.020833254,,,,0.2578125,,,,,
10/27/1981,,3.0625,,,,0.265625,,,,,
10/28/1981,,3.291666746,,,,0.278645843,,,,,
10/29/1981,,3.208333254,,,,0.276041657,,,,,
10/30/1981,,3.291666746,,,,0.296875,,,,,
11/2/1981,,3.395833254,,,,0.299479157,,,,,
11/3/1981,,3.4375,,,,0.307291657,,,,,
11/4/1981,,3.4375,,,,0.299479157,,,,,
11/5/1981,,3.333333254,,,,0.302083343,,,,,
11/6/1981,,3.229166746,,,,0.302083343,,,,,
11/9/1981,,3.229166746,,,,0.3046875,,,,,
11/10/1981,,3.125,,,,0.302083343,,,,,
11/11/1981,,3.104166746,,,,0.296875,,,,,
11/12/1981,,3.125,,,,0.296875,,,,,
11/13/1981,,2.875,,,,0.278645843,,,,,
11/16/1981,,2.875,,,,0.270833343,,,,,
11/17/1981,,2.854166746,,,,0.276041657,,,,,
11/18/1981,,2.833333254,,,,0.263020843,,,,,
11/19/1981,,2.833333254,,,,0.260416657,,,,,
11/20/1981,,2.895833254,,,,0.252604157,,,,,
11/23/1981,,2.854166746,,,,0.255208343,,,,,
11/24/1981,,2.979166746,,,,0.255208343,,,,,
11/25/1981,,2.895833254,,,,0.25,,,,,
11/27/1981,,2.729166746,,,,0.25,,,,,
11/30/1981,,2.833333254,,,,0.260416657,,,,,
12/1/1981,,2.958333254,,,,0.260416657,,,,,
12/2/1981,,3.083333254,,,,0.263020843,,,,,
